tsne_1,tsne_2
-26.006157,25.40405
-34.90847,-13.122616
40.154396,-31.72874
-14.795021,-14.880109
9.121567,2.5140939
31.794516,22.848835
-11.969673,41.082397
-67.32286,11.015856
4.2246075,25.976145
0.13656095,42.98255
-21.915092,-23.920671
12.406043,-15.96206
27.223719,-39.884842
29.911324,27.989523
47.57804,-20.224499
-18.875757,17.496437
-6.229793,-30.434074
5.1751328,-26.913157
-9.577576,45.817543
36.569813,20.753653
-12.442029,-26.2609
-26.677485,-28.734095
-58.774208,-10.791438
34.14228,19.40857
28.199772,-17.82698
-56.154987,25.655828
27.450241,6.9037814
-24.390945,-27.077497
18.468113,14.253541
-15.101141,28.195522
-11.40023,12.507201
2.2701037,23.996353
7.2524033,34.531193
-14.759136,7.937505
-38.30384,-31.014486
-42.892365,-1.9112512
-67.53872,5.2179365
-60.39131,-15.501763
30.437119,-35.467842
25.719439,-38.23541
-6.374564,-29.023602
9.16207,-29.023518
45.834293,3.721421
47.91276,-12.083505
-63.86967,8.908683
-55.5002,-15.489383
2.916979,-31.98617
43.937008,11.87913
-48.923088,12.610014
-23.10592,13.976426
7.14979,-25.303865
50.779793,-1.7468611
-46.998108,23.439896
55.570732,8.829525
33.937904,25.701075
-29.869457,5.4348354
-66.48738,13.331509
-3.6435294,-29.309809
-16.551716,2.3478012
-13.275727,-32.593716
-12.577255,11.370707
-12.414537,-34.724606
-67.18468,-3.0765934
18.875391,-46.41053
-40.69406,-3.8027477
-27.389986,-31.32693
24.988482,-29.652344
17.631828,26.417204
-23.482727,-35.40378
-17.803974,21.313702
50.582497,16.395292
-50.96496,16.255394
-24.601944,12.418293
35.223736,26.501352
5.0460215,17.93443
-60.099438,-7.3930335
-25.85807,20.426373
30.454372,-13.311261
-36.67734,11.709562
30.849283,-44.219513
-9.999706,38.14601
55.4733,17.163958
-59.92298,23.861702
-6.773804,-31.02799
-65.223526,-4.830853
-3.3333888,-13.696144
23.28645,-16.37256
4.7195354,-43.268642
0.9588989,5.601123
-40.273186,-16.975916
-42.244293,-6.287583
-18.237051,45.543526
-61.95694,22.895477
-31.854506,-12.203057
4.220255,4.2752833
